station_number,station_name,total_departures,active_days,weekday_departures,weekend_departures,morning_peak_departures,evening_peak_departures,avg_departure_duration_ms,avg_daily_departures,weekend_departure_share,morning_peak_departure_share,evening_peak_departure_share,total_arrivals,active_days_arr,avg_daily_arrivals,net_flow,imbalance_ratio,cluster,recommended_action,pca1,pca2
994.0,"Tanner Street, Bermondsey",1315.0,30.0,864.0,451.0,311.0,270.0,6257442.808365019,43.833333333333336,0.3429657794676806,0.23650190114068442,0.20532319391634982,1381,31,44.54838709677419,66.0,0.024471635150166853,2,Standard commuter-period rebalancing,0.10918075921105225,1.3224361666255136
995.0,"Little Argyll Street, West End",2843.0,30.0,1858.0,985.0,105.0,1031.0,3559453.2856137883,94.76666666666667,0.3464650017587056,0.03693281744635948,0.36264509321139643,3015,30,100.5,172.0,0.029356545485577742,1,High-priority core station for monitoring and capacity review,4.498343440580213,1.109203608473521
996.0,"Borough High Street, The Borough",855.0,30.0,615.0,240.0,142.0,197.0,985950.252631579,28.5,0.2807017543859649,0.16608187134502925,0.2304093567251462,833,30,27.766666666666666,-22.0,0.013025458851391355,2,Standard commuter-period rebalancing,-0.2879721738642938,-0.30710551049076157
997.0,"Worship Street, Shoreditch",1284.0,30.0,1113.0,171.0,60.0,714.0,997114.4080996885,42.8,0.13317757009345793,0.04672897196261682,0.5560747663551402,1300,30,43.333333333333336,16.0,0.006189555125725338,4,Prioritise evening dock relief and destination-side balancing,2.794116110187563,-3.223456354894908
998.0,"Lollard Street, Vauxhall",828.0,30.0,593.0,235.0,204.0,163.0,768535.2258454106,27.6,0.28381642512077293,0.2463768115942029,0.19685990338164253,826,30,27.533333333333335,-2.0,0.0012084592145015106,2,Standard commuter-period rebalancing,-0.8500553708762406,0.25477742008671594
999.0,"Queen Street 1, Bank",2298.0,30.0,1987.0,311.0,223.0,1274.0,2456465.9247171455,76.6,0.13533507397737163,0.09704090513489991,0.5543951261966927,2715,31,87.58064516129032,417.0,0.08316713203031512,4,Prioritise evening dock relief and destination-side balancing,4.4904360682909035,-2.0425351125975584
1000.0,"Vauxhall Cross, Vauxhall",1697.0,30.0,1197.0,500.0,364.0,404.0,984546.6841484973,56.56666666666667,0.2946375957572186,0.21449616971125515,0.23806717737183264,1697,31,54.74193548387097,0.0,0.0,1,High-priority core station for monitoring and capacity review,0.9346061435094795,0.8614060384404317
1001.0,"West Cromwell Road, Earl's Court",746.0,30.0,541.0,205.0,189.0,121.0,1185515.0549597854,24.866666666666667,0.27479892761394104,0.25335120643431636,0.16219839142091153,684,30,22.8,-62.0,0.04332634521313766,2,Standard commuter-period rebalancing,-1.2788800418009472,0.1443306659036488
1002.0,"Holy Trinity Brompton, Knightsbridge",974.0,30.0,634.0,340.0,103.0,318.0,1434047.7833675565,32.46666666666667,0.3490759753593429,0.10574948665297741,0.3264887063655031,991,30,33.03333333333333,17.0,0.008646998982706003,4,Prioritise evening dock relief and destination-side balancing,0.6637870942504014,-0.4517854151398216
1003.0,"Chapel Place, Marylebone",1035.0,30.0,796.0,239.0,34.0,415.0,1218523.6309178744,34.5,0.23091787439613526,0.03285024154589372,0.40096618357487923,1058,31,34.12903225806452,23.0,0.010983763132760267,4,Prioritise evening dock relief and destination-side balancing,1.54855504529196,-1.9716505635821908
1004.0,"Doric Way , Somers Town",1283.0,31.0,985.0,298.0,455.0,205.0,1390032.6562743569,41.38709677419355,0.23226812159002339,0.35463756819953235,0.1597817614964926,1024,30,34.13333333333333,-259.0,0.11221837088388215,2,Standard commuter-period rebalancing,-1.0861041105691023,0.4129023802143348
1005.0,"Eversholt Street , Camden Town",675.0,30.0,431.0,244.0,208.0,104.0,3911173.3259259257,22.5,0.36148148148148146,0.30814814814814817,0.15407407407407409,630,31,20.322580645161292,-45.0,0.03445635528330781,2,Standard commuter-period rebalancing,-1.7129424306734147,1.1390712077966836
1006.0,"Percy Street, Bloomsbury",1054.0,30.0,798.0,256.0,84.0,438.0,1029018.5559772296,35.13333333333333,0.2428842504743833,0.07969639468690702,0.4155597722960152,1053,30,35.1,-1.0,0.0004743833017077799,4,Prioritise evening dock relief and destination-side balancing,1.4439573039614335,-1.7270042866942454
1007.0,"Drury Lane, Covent Garden",1889.0,31.0,1304.0,585.0,137.0,535.0,1171479.8200105876,60.935483870967744,0.3096876654314452,0.07252514557967178,0.2832186341979884,2012,30,67.06666666666666,123.0,0.031522296258329065,1,High-priority core station for monitoring and capacity review,2.203630257338801,0.2548345843852525
1008.0,"Hatton Wall, Holborn",1433.0,30.0,1097.0,336.0,206.0,503.0,942800.494068388,47.766666666666666,0.23447313328681088,0.1437543614794138,0.35101186322400557,1393,30,46.43333333333333,-40.0,0.014149274849663955,4,Prioritise evening dock relief and destination-side balancing,1.4263161894916034,-0.8381377078128016
1009.0,"Taviton Street, Bloomsbury",864.0,30.0,658.0,206.0,114.0,256.0,1060027.8020833333,28.8,0.23842592592592593,0.13194444444444445,0.2962962962962963,793,30,26.433333333333334,-71.0,0.0428226779252111,4,Prioritise evening dock relief and destination-side balancing,0.1778814605809498,-1.2686873891357338
1010.0,"Cartwright Gardens , Bloomsbury",828.0,30.0,577.0,251.0,153.0,218.0,1186446.4553140097,27.6,0.3031400966183575,0.18478260869565216,0.2632850241545894,777,31,25.06451612903226,-51.0,0.031755915317559155,2,Standard commuter-period rebalancing,-0.33868198113768455,-0.3985272440309392
1011.0,"Argyle Street, Kings Cross",3228.0,30.0,2405.0,823.0,1060.0,617.0,1746176.3602850062,107.6,0.2549566294919455,0.32837670384138784,0.19114002478314746,2854,30,95.13333333333334,-374.0,0.06148282097649186,1,High-priority core station for monitoring and capacity review,2.4836602886344057,2.5330933135042195
1012.0,"Christopher Street, Liverpool Street",593.0,30.0,515.0,78.0,39.0,266.0,1142102.4806070826,19.766666666666666,0.1315345699831366,0.0657672849915683,0.448566610455312,654,30,21.8,61.0,0.04887820512820513,4,Prioritise evening dock relief and destination-side balancing,0.9860256713918698,-3.410321228089574
1013.0,"St. Chad's Street, King's Cross",641.0,30.0,428.0,213.0,96.0,148.0,1893762.2776911077,21.366666666666667,0.33229329173166927,0.1497659906396256,0.23088923556942278,676,30,22.533333333333335,35.0,0.026555386949924126,2,Standard commuter-period rebalancing,-0.5680474421516114,-0.22105757727732914
